from_city,to_city,bus_name,bus_number,departure_time,arrival_time,duration,type,price,available_seats,total_seats,rating,features,starting_point,women_special
Vellore,Madurai,ABT Travels Non-AC Seater,TN-18-XT-0613,17:15,23:15,6h 0m,Non-AC Seater,1432,14,36,4.6,WiFi,Vellore,No
Cuddalore,Tirunelveli,SRM Travels Non-AC Seater,TN-39-LV-1415,19:45,23:49,4h 4m,Non-AC Seater,820,21,30,4.7,Charging Port,Cuddalore,No
Madurai,Karur,TNSTC AC Sleeper,TN-68-EJ-3848,19:15,05:15,10h 0m,AC Sleeper,496,15,36,3.8,-,Madurai,Yes
Kumbakonam,Pudukkottai,Vivegam Travels AC Sleeper,TN-00-PG-3227,20:15,04:43,8h 28m,AC Seater,552,42,44,3.7,Blanket,Kumbakonam,Yes
Salem,Trichy,ABT Travels Non-AC Sleeper,TN-53-JI-5721,22:30,05:31,7h 1m,Non-AC Seater,250,42,44,4.1,WiFi,Salem,Yes
Salem,Kumbakonam,SETC AC Sleeper,TN-79-TY-8693,20:30,08:08,11h 38m,Non-AC Sleeper,107,10,44,4.6,-,Thanjavur,Yes
Pudukkottai,Thanjavur,TNSTC Non-AC Sleeper,TN-55-LA-3149,19:00,01:47,6h 47m,Non-AC Sleeper,229,27,30,3.6,-,Thanjavur,Yes
Coimbatore,Salem,Vivegam Travels AC Sleeper,TN-66-LZ-5820,21:45,05:16,7h 31m,Non-AC Sleeper,1490,9,36,4.7,Blanket,Coimbatore,No
Vellore,Kanyakumari,ABT Travels AC Sleeper,TN-35-NT-2309,19:30,22:25,2h 55m,Non-AC Seater,703,17,30,4.0,WiFi,Vellore,Yes
Kanyakumari,Vellore,SRS Travels Non-AC Seater,TN-61-FI-1492,22:15,01:38,3h 23m,AC Sleeper,1023,6,30,4.2,-,Kanyakumari,No
Kumbakonam,Coimbatore,TNSTC AC Sleeper,TN-82-HB-1290,21:30,09:22,11h 52m,AC Sleeper,340,31,50,4.3,-,Kumbakonam,No
Thanjavur,Vellore,TNSTC AC Seater,TN-16-SQ-8904,19:15,21:36,2h 21m,Non-AC Seater,349,10,30,3.9,-,Thanjavur,Yes
Karur,Pudukkottai,TNSTC Non-AC Seater,TN-18-BI-8056,23:30,02:22,2h 52m,AC Seater,663,24,50,4.1,-,Karur,Yes
Tuticorin,Theni,SETC Non-AC Seater,TN-73-UD-5371,18:00,04:33,10h 33m,AC Sleeper,610,11,30,3.7,-,Cuddalore,Yes
Erode,Ramanathapuram,Parveen Travels Non-AC Sleeper,TN-20-AA-3488,19:00,05:15,10h 15m,Non-AC Sleeper,1105,16,30,3.7,Charging Port,Erode,Yes
Pudukkottai,Karur,TNSTC Non-AC Seater,TN-30-CR-9593,20:15,01:57,5h 42m,Non-AC Seater,257,22,30,4.6,-,Coimbatore,No
Dindigul,Kanyakumari,TNSTC AC Seater,TN-21-AZ-5052,17:00,03:05,10h 5m,AC Seater,333,6,40,3.6,-,Dindigul,No
Theni,Erode,ABT Travels AC Seater,TN-03-TJ-2689,22:45,10:15,11h 30m,Non-AC Sleeper,1181,29,44,4.2,Charging Port,Theni,Yes
Trichy,Karur,Vivegam Travels AC Sleeper,TN-37-MU-4307,23:30,02:37,3h 7m,Non-AC Seater,493,35,50,4.8,Charging Port,Trichy,No
Kanyakumari,Dindigul,TNSTC AC Seater,TN-92-SC-5953,19:15,03:01,7h 46m,AC Seater,675,12,30,3.9,-,Kanyakumari,Yes
Cuddalore,Tirunelveli,TNSTC Non-AC Seater,TN-77-UD-2511,19:45,06:06,10h 21m,AC Seater,293,30,50,4.7,-,Kanyakumari,No
Dindigul,Thanjavur,SRS Travels Non-AC Sleeper,TN-65-ZO-9709,19:15,23:01,3h 46m,Non-AC Seater,1073,7,36,3.8,Charging Port,Kanyakumari,No
Hosur,Cuddalore,TNSTC Non-AC Seater,TN-50-ST-5757,17:45,05:06,11h 21m,Non-AC Sleeper,545,6,40,4.1,-,Hosur,Yes
Dindigul,Thanjavur,Vivegam Travels Non-AC Seater,TN-29-LJ-5897,23:00,01:27,2h 27m,Non-AC Sleeper,1116,22,50,4.2,-,Dindigul,Yes
Coimbatore,Madurai,SETC Non-AC Sleeper,TN-42-FJ-2980,20:45,23:37,2h 52m,Non-AC Sleeper,444,31,50,4.0,-,Coimbatore,Yes
Hosur,Theni,TNSTC AC Seater,TN-58-LO-4188,20:45,00:19,3h 34m,AC Sleeper,485,36,44,4.1,-,Hosur,No
Tirunelveli,Thanjavur,SRM Travels AC Seater,TN-20-CV-0555,23:15,03:02,3h 47m,AC Seater,209,9,36,3.7,Water Bottle,Tirunelveli,No
Vellore,Nagercoil,SRS Travels Non-AC Sleeper,TN-79-XO-8471,22:45,09:18,10h 33m,Non-AC Sleeper,701,17,44,5.0,Water Bottle,Vellore,Yes
Cuddalore,Chennai,TNSTC AC Seater,TN-54-JQ-7993,19:00,01:34,6h 34m,AC Sleeper,335,8,36,3.6,-,Cuddalore,Yes
Chennai,Nagercoil,SETC Non-AC Seater,TN-04-MX-5963,17:45,22:35,4h 50m,Non-AC Seater,536,32,36,3.8,-,Chennai,Yes
Trichy,Tuticorin,ABT Travels Non-AC Sleeper,TN-25-AA-9917,22:15,05:10,6h 55m,Non-AC Sleeper,1198,6,36,3.8,Blanket,Trichy,Yes
Tuticorin,Madurai,TNSTC Non-AC Sleeper,TN-54-PP-5431,19:00,21:57,2h 57m,AC Seater,522,30,30,4.9,-,Tuticorin,Yes
Tirunelveli,Theni,KPN Travels Non-AC Seater,TN-79-NK-0342,19:30,03:10,7h 40m,Non-AC Sleeper,458,19,30,4.4,-,Tirunelveli,Yes
Hosur,Dindigul,TNSTC Non-AC Sleeper,TN-73-CH-4074,17:30,03:38,10h 8m,Non-AC Sleeper,636,28,40,4.2,-,Hosur,No
Pudukkottai,Hosur,KPN Travels Non-AC Seater,TN-59-MP-5642,17:45,23:32,5h 47m,AC Seater,1112,9,30,4.9,Charging Port,Pudukkottai,No
Nagercoil,Dindigul,TNSTC AC Seater,TN-78-GH-9906,23:00,01:01,2h 1m,Non-AC Sleeper,441,18,30,4.6,-,Nagercoil,No
Trichy,Tuticorin,TNSTC AC Sleeper,TN-41-TX-7684,18:00,03:40,9h 40m,AC Seater,265,5,30,3.8,-,Trichy,No
Erode,Trichy,KPN Travels AC Seater,TN-28-FZ-8962,22:00,05:44,7h 44m,Non-AC Seater,822,22,30,4.9,USB,Coimbatore,No
Kumbakonam,Vellore,TNSTC Non-AC Seater,TN-07-XO-5557,21:30,05:35,8h 5m,Non-AC Sleeper,534,12,36,4.9,-,Kumbakonam,Yes
Ramanathapuram,Karur,TNSTC AC Seater,TN-24-YQ-4387,20:45,04:12,7h 27m,AC Sleeper,660,30,36,4.6,-,Tuticorin,Yes
Tuticorin,Tirunelveli,TNSTC Non-AC Seater,TN-70-PB-6430,22:45,07:56,9h 11m,AC Seater,149,9,36,3.9,-,Tuticorin,Yes
Hosur,Madurai,Vivegam Travels AC Sleeper,TN-78-CC-0361,20:30,07:21,10h 51m,AC Sleeper,879,20,36,4.2,WiFi,Hosur,No
Trichy,Kanyakumari,ABT Travels AC Seater,TN-71-AL-5335,23:30,08:14,8h 44m,AC Sleeper,651,21,36,4.5,-,Trichy,Yes
Salem,Trichy,SETC Non-AC Sleeper,TN-63-GW-8735,20:45,05:03,8h 18m,Non-AC Sleeper,747,29,36,4.7,-,Dindigul,Yes
Dindigul,Pudukkottai,TNSTC Non-AC Seater,TN-19-LJ-7214,19:30,01:35,6h 5m,AC Seater,228,39,40,3.9,-,Dindigul,No
Thanjavur,Kanyakumari,Vivegam Travels AC Seater,TN-05-FQ-0243,20:45,02:35,5h 50m,AC Seater,476,27,44,4.6,USB,Thanjavur,Yes
Chennai,Pudukkottai,SRM Travels AC Seater,TN-71-LB-0992,23:00,06:16,7h 16m,Non-AC Seater,1194,5,40,4.2,Water Bottle,Chennai,No
Cuddalore,Dindigul,SETC Non-AC Seater,TN-68-ZA-2236,17:45,00:13,6h 28m,Non-AC Seater,342,24,40,5.0,-,Cuddalore,Yes
Nagercoil,Pudukkottai,SRS Travels AC Seater,TN-80-ZD-1195,19:00,03:32,8h 32m,AC Seater,369,43,44,3.6,-,Nagercoil,Yes
Coimbatore,Vellore,Parveen Travels Non-AC Seater,TN-67-UG-2336,21:45,07:00,9h 15m,AC Sleeper,1411,11,40,4.8,USB,Coimbatore,No
Ramanathapuram,Hosur,Parveen Travels Non-AC Seater,TN-91-XA-3214,19:30,23:21,3h 51m,Non-AC Sleeper,1004,31,36,4.7,Blanket,Ramanathapuram,Yes
Dindigul,Chennai,KPN Travels Non-AC Sleeper,TN-15-JI-5452,17:00,00:09,7h 9m,AC Sleeper,277,23,50,4.3,WiFi,Dindigul,Yes
Trichy,Erode,SETC AC Seater,TN-01-ZI-3519,18:30,05:33,11h 3m,Non-AC Sleeper,160,29,44,4.9,-,Trichy,Yes
Hosur,Tirunelveli,KPN Travels AC Seater,TN-42-EM-6991,19:00,03:10,8h 10m,Non-AC Seater,579,7,36,4.7,Charging Port,Hosur,Yes
Madurai,Cuddalore,TNSTC Non-AC Sleeper,TN-62-EW-3958,17:15,20:17,3h 2m,AC Seater,365,22,36,4.8,-,Madurai,No
Kanyakumari,Thanjavur,SRM Travels AC Seater,TN-32-VZ-4313,18:15,04:55,10h 40m,Non-AC Seater,529,19,44,3.9,Water Bottle,Kanyakumari,Yes
Salem,Trichy,KPN Travels AC Sleeper,TN-08-WU-1434,21:15,01:52,4h 37m,AC Sleeper,575,14,50,3.7,Water Bottle,Tirunelveli,Yes
Karur,Hosur,SETC Non-AC Seater,TN-94-YD-6352,19:15,23:06,3h 51m,AC Sleeper,712,18,36,4.5,-,Karur,Yes
Dindigul,Theni,KPN Travels Non-AC Sleeper,TN-11-QW-7270,20:45,00:12,3h 27m,Non-AC Sleeper,1268,22,36,4.0,USB,Dindigul,Yes
Ramanathapuram,Kanyakumari,SRM Travels AC Seater,TN-29-FM-1726,21:00,00:33,3h 33m,Non-AC Sleeper,762,42,50,4.2,Charging Port,Ramanathapuram,Yes
Thanjavur,Karur,KPN Travels Non-AC Sleeper,TN-67-KO-8596,23:00,01:37,2h 37m,AC Seater,576,49,50,3.7,Charging Port,Thanjavur,No
Karur,Kumbakonam,Parveen Travels Non-AC Sleeper,TN-39-SR-8442,19:45,03:56,8h 11m,AC Seater,343,18,30,4.0,Water Bottle,Karur,Yes
Vellore,Nagercoil,SRM Travels Non-AC Sleeper,TN-39-HR-8747,18:45,21:59,3h 14m,AC Sleeper,541,22,44,3.8,Blanket,Vellore,Yes
Trichy,Cuddalore,SRM Travels Non-AC Seater,TN-07-TJ-3500,21:15,23:25,2h 10m,Non-AC Sleeper,740,27,44,4.2,WiFi,Theni,No
Chennai,Erode,Vivegam Travels AC Sleeper,TN-17-CP-4627,22:15,09:34,11h 19m,Non-AC Sleeper,443,50,50,4.0,Charging Port,Chennai,Yes
Thanjavur,Chennai,TNSTC AC Seater,TN-22-OP-3032,23:00,09:55,10h 55m,AC Sleeper,788,21,30,4.0,-,Thanjavur,Yes
Cuddalore,Pudukkottai,TNSTC Non-AC Sleeper,TN-11-CG-1731,20:15,22:46,2h 31m,Non-AC Seater,206,13,50,4.1,-,Tirunelveli,No
Coimbatore,Salem,SRM Travels Non-AC Sleeper,TN-82-IX-6262,17:00,00:25,7h 25m,Non-AC Sleeper,594,7,36,4.1,Charging Port,Coimbatore,No
Trichy,Theni,SETC AC Seater,TN-63-ZA-0210,17:15,23:49,6h 34m,AC Sleeper,188,32,50,4.6,-,Trichy,Yes
Cuddalore,Vellore,SRS Travels AC Sleeper,TN-61-LZ-1697,20:15,22:17,2h 2m,Non-AC Sleeper,366,30,40,4.0,-,Coimbatore,No
Trichy,Salem,TNSTC AC Sleeper,TN-79-LR-9273,17:00,00:44,7h 44m,Non-AC Seater,221,11,50,4.0,-,Trichy,Yes
Theni,Karur,SRM Travels Non-AC Sleeper,TN-18-EG-2476,18:15,22:08,3h 53m,Non-AC Seater,730,26,30,4.3,Blanket,Theni,Yes
Thanjavur,Tirunelveli,KPN Travels Non-AC Seater,TN-74-NU-3162,22:30,02:46,4h 16m,AC Sleeper,987,27,44,4.4,WiFi,Madurai,No
Tirunelveli,Kumbakonam,SRM Travels AC Seater,TN-37-TU-1198,20:30,01:33,5h 3m,AC Sleeper,472,36,40,5.0,Water Bottle,Tirunelveli,Yes
Trichy,Madurai,SRS Travels AC Seater,TN-42-AL-4800,19:15,01:47,6h 32m,Non-AC Seater,1306,40,44,4.0,WiFi,Trichy,No
Salem,Pudukkottai,ABT Travels Non-AC Sleeper,TN-41-PI-8586,21:15,23:25,2h 10m,Non-AC Seater,1351,33,44,4.7,Blanket,Salem,Yes
Coimbatore,Vellore,TNSTC AC Seater,TN-91-UJ-5137,17:15,00:24,7h 9m,Non-AC Seater,554,20,36,4.5,-,Coimbatore,Yes
Pudukkottai,Kumbakonam,SRS Travels Non-AC Sleeper,TN-89-OY-7115,22:15,10:04,11h 49m,AC Sleeper,721,28,40,4.3,WiFi,Vellore,No
Cuddalore,Hosur,SETC Non-AC Sleeper,TN-92-ZG-1302,19:30,06:38,11h 8m,Non-AC Sleeper,789,6,30,4.8,-,Thanjavur,No
Thanjavur,Erode,SETC Non-AC Seater,TN-53-RW-2415,21:00,08:18,11h 18m,AC Sleeper,475,38,50,4.5,-,Thanjavur,No
Tirunelveli,Pudukkottai,TNSTC Non-AC Sleeper,TN-77-KO-9599,18:15,21:08,2h 53m,AC Seater,372,10,40,3.5,-,Tirunelveli,No
Dindigul,Salem,KPN Travels AC Seater,TN-31-OY-3284,19:30,06:58,11h 28m,Non-AC Seater,1161,12,36,3.8,-,Madurai,No
Trichy,Hosur,SETC AC Sleeper,TN-23-YS-8834,22:15,03:53,5h 38m,AC Seater,359,9,44,4.5,-,Trichy,Yes
Kanyakumari,Salem,SETC Non-AC Seater,TN-16-UF-2656,19:15,21:53,2h 38m,AC Seater,378,48,50,4.6,-,Kanyakumari,Yes
Kanyakumari,Madurai,KPN Travels Non-AC Seater,TN-61-YN-9470,23:30,04:56,5h 26m,Non-AC Seater,1056,5,40,4.1,WiFi,Kanyakumari,No
Hosur,Cuddalore,TNSTC Non-AC Seater,TN-25-IS-1428,20:30,23:56,3h 26m,AC Seater,155,34,36,4.8,-,Hosur,Yes
Trichy,Madurai,TNSTC Non-AC Sleeper,TN-63-ZK-6131,20:15,23:35,3h 20m,AC Seater,119,44,44,3.6,-,Trichy,No
Chennai,Salem,SETC Non-AC Sleeper,TN-08-GJ-4679,20:00,04:00,8h 0m,AC Seater,474,14,40,3.6,-,Chennai,Yes
Thanjavur,Dindigul,SETC AC Seater,TN-62-WJ-0644,19:30,02:01,6h 31m,Non-AC Sleeper,370,34,50,4.4,-,Thanjavur,Yes
Erode,Thanjavur,ABT Travels Non-AC Seater,TN-81-TJ-7505,19:00,21:56,2h 56m,Non-AC Seater,592,36,36,3.5,USB,Erode,Yes
Kumbakonam,Ramanathapuram,SETC Non-AC Seater,TN-05-JO-5188,19:30,23:39,4h 9m,Non-AC Sleeper,130,12,50,4.1,-,Kumbakonam,Yes
Coimbatore,Vellore,SRM Travels Non-AC Seater,TN-14-DD-9216,20:30,23:27,2h 57m,Non-AC Seater,453,8,50,3.8,Blanket,Coimbatore,Yes
Erode,Tuticorin,SRM Travels AC Seater,TN-61-OQ-4668,18:45,04:53,10h 8m,AC Seater,408,22,50,3.8,-,Theni,Yes
Pudukkottai,Thanjavur,KPN Travels Non-AC Seater,TN-69-CJ-0826,22:15,07:11,8h 56m,AC Sleeper,698,31,44,5.0,-,Pudukkottai,Yes
Salem,Tuticorin,ABT Travels AC Sleeper,TN-67-XD-1627,19:30,03:55,8h 25m,AC Seater,628,5,36,4.3,USB,Salem,Yes
Coimbatore,Vellore,TNSTC AC Sleeper,TN-92-CA-1189,23:30,10:18,10h 48m,AC Sleeper,430,10,36,4.9,-,Coimbatore,Yes
Theni,Thanjavur,Vivegam Travels Non-AC Seater,TN-69-OA-1951,19:45,00:53,5h 8m,AC Seater,944,24,40,4.5,Water Bottle,Nagercoil,No
Tuticorin,Madurai,SRM Travels Non-AC Seater,TN-09-RD-0173,20:00,23:02,3h 2m,AC Sleeper,1158,31,50,3.6,-,Tuticorin,No
Pudukkottai,Erode,TNSTC AC Seater,TN-86-TO-7785,22:45,04:25,5h 40m,Non-AC Sleeper,141,32,50,3.8,-,Pudukkottai,No
Tirunelveli,Coimbatore,Parveen Travels Non-AC Seater,TN-66-PA-4745,21:45,09:29,11h 44m,AC Seater,1329,39,40,4.0,Charging Port,Madurai,Yes
Karur,Tuticorin,KPN Travels AC Sleeper,TN-55-RU-4112,22:30,01:03,2h 33m,AC Seater,445,11,44,4.7,-,Thanjavur,Yes
Chennai,Trichy,ABT Travels Non-AC Sleeper,TN-22-YX-7664,21:15,05:55,8h 40m,Non-AC Seater,570,30,44,4.7,-,Chennai,Yes
Coimbatore,Nagercoil,TNSTC AC Seater,TN-79-LR-0908,22:30,09:22,10h 52m,AC Seater,113,5,44,4.5,-,Coimbatore,No
Kumbakonam,Hosur,TNSTC AC Sleeper,TN-45-OZ-1326,23:45,03:59,4h 14m,AC Seater,207,31,36,4.9,-,Kumbakonam,No
Pudukkottai,Cuddalore,SETC Non-AC Sleeper,TN-12-DH-5729,21:15,23:30,2h 15m,Non-AC Seater,604,14,36,5.0,-,Pudukkottai,Yes
Salem,Dindigul,KPN Travels AC Sleeper,TN-79-YE-4569,21:00,06:20,9h 20m,AC Seater,1216,9,40,4.6,Blanket,Salem,Yes
Chennai,Cuddalore,TNSTC AC Sleeper,TN-78-MV-4804,23:15,07:07,7h 52m,Non-AC Sleeper,561,28,30,4.4,-,Chennai,No
Cuddalore,Madurai,SRM Travels AC Sleeper,TN-51-HG-6869,23:00,05:31,6h 31m,AC Seater,1427,15,44,5.0,-,Kanyakumari,No
Erode,Vellore,TNSTC Non-AC Seater,TN-90-MV-9573,17:45,22:10,4h 25m,Non-AC Sleeper,773,39,50,4.8,-,Erode,Yes
Karur,Pudukkottai,SETC AC Sleeper,TN-08-IW-2447,18:30,01:58,7h 28m,AC Sleeper,532,36,36,3.7,-,Karur,No
Vellore,Theni,SETC AC Sleeper,TN-19-QX-3080,17:00,04:51,11h 51m,AC Seater,619,21,40,4.6,-,Madurai,No
Dindigul,Kanyakumari,SRM Travels Non-AC Sleeper,TN-73-BW-1296,17:15,22:42,5h 27m,Non-AC Seater,582,26,30,4.5,-,Dindigul,Yes
Madurai,Salem,TNSTC Non-AC Seater,TN-55-MZ-6714,17:15,20:04,2h 49m,AC Seater,656,32,44,4.9,-,Madurai,No
Ramanathapuram,Erode,SETC AC Seater,TN-75-WC-1446,22:00,09:14,11h 14m,AC Sleeper,118,36,36,4.1,-,Chennai,No
Kanyakumari,Chennai,SRS Travels AC Seater,TN-87-WG-9914,18:00,20:42,2h 42m,Non-AC Sleeper,1031,44,50,4.2,-,Kanyakumari,Yes
Madurai,Thanjavur,KPN Travels AC Sleeper,TN-93-HS-0005,19:15,01:28,6h 13m,Non-AC Sleeper,623,44,44,4.5,WiFi,Madurai,Yes
Chennai,Vellore,SETC Non-AC Seater,TN-93-SE-9414,21:15,07:52,10h 37m,AC Sleeper,190,48,50,4.5,-,Chennai,No
Kanyakumari,Coimbatore,KPN Travels Non-AC Sleeper,TN-09-EH-8316,19:15,02:11,6h 56m,AC Sleeper,1027,16,40,4.8,WiFi,Theni,No
Karur,Coimbatore,TNSTC Non-AC Sleeper,TN-01-VV-4293,19:00,04:02,9h 2m,AC Sleeper,699,21,44,4.9,-,Karur,Yes
Vellore,Salem,TNSTC Non-AC Sleeper,TN-46-MD-4105,22:15,07:29,9h 14m,AC Seater,332,34,44,4.0,-,Vellore,Yes
Thanjavur,Trichy,KPN Travels AC Seater,TN-39-PW-9318,18:45,05:24,10h 39m,AC Seater,1214,17,30,4.4,Charging Port,Thanjavur,No
Theni,Pudukkottai,SETC Non-AC Seater,TN-00-KG-2827,22:15,03:23,5h 8m,Non-AC Seater,448,8,40,4.0,-,Theni,Yes
Tirunelveli,Salem,SETC AC Sleeper,TN-68-UI-7656,20:30,07:52,11h 22m,Non-AC Seater,673,11,50,4.7,-,Tirunelveli,Yes
Pudukkottai,Ramanathapuram,Vivegam Travels Non-AC Seater,TN-88-TS-3095,23:00,02:10,3h 10m,AC Sleeper,1440,24,44,4.8,Water Bottle,Pudukkottai,No
Thanjavur,Salem,SETC AC Sleeper,TN-99-DB-7407,21:00,03:15,6h 15m,Non-AC Sleeper,455,18,30,4.0,-,Thanjavur,No
Salem,Kumbakonam,ABT Travels AC Sleeper,TN-13-SI-5714,21:00,04:45,7h 45m,Non-AC Sleeper,1450,39,40,4.3,Blanket,Salem,Yes
Coimbatore,Ramanathapuram,SETC AC Sleeper,TN-92-LC-7244,17:15,19:21,2h 6m,Non-AC Sleeper,757,25,30,4.9,-,Madurai,Yes
Dindigul,Salem,Parveen Travels AC Sleeper,TN-76-TS-1943,19:00,00:14,5h 14m,Non-AC Seater,1291,15,36,4.3,WiFi,Dindigul,Yes
Ramanathapuram,Tirunelveli,SRS Travels AC Seater,TN-29-IA-4743,19:30,05:56,10h 26m,Non-AC Sleeper,600,20,40,4.2,-,Ramanathapuram,No
Theni,Salem,TNSTC Non-AC Sleeper,TN-16-EA-3062,20:30,01:51,5h 21m,AC Sleeper,120,10,50,4.2,-,Theni,Yes
Thanjavur,Salem,SETC AC Sleeper,TN-94-FK-7900,21:00,01:34,4h 34m,AC Sleeper,658,29,30,3.5,-,Thanjavur,Yes
Trichy,Pudukkottai,SETC Non-AC Sleeper,TN-47-EV-4754,23:00,05:19,6h 19m,Non-AC Sleeper,119,13,40,4.6,-,Trichy,No
Thanjavur,Tirunelveli,ABT Travels Non-AC Sleeper,TN-35-KR-1943,22:30,06:32,8h 2m,AC Sleeper,778,5,44,4.7,WiFi,Thanjavur,No
Thanjavur,Coimbatore,TNSTC AC Seater,TN-20-LD-8750,21:15,03:34,6h 19m,Non-AC Seater,324,9,30,4.7,-,Dindigul,Yes
Erode,Thanjavur,Vivegam Travels AC Seater,TN-12-RG-4352,20:45,00:01,3h 16m,Non-AC Sleeper,1202,28,36,3.6,Charging Port,Erode,No
